chr:start:end,chr,start,end
17:28448666:28449056,17,28448666,28449056
7:5237557:5237800,7,5237557,5237800
22:38305724:38305955,22,38305724,38305955
11:116321466:116322619,11,116321466,116322619
16:53440014:53440800,16,53440014,53440800
12:67650428:67651055,12,67650428,67651055
8:143328645:143328885,8,143328645,143328885
3:128846765:128847131,3,128846765,128847131
12:98397870:98398359,12,98397870,98398359
16:87852715:87853130,16,87852715,87853130
16:87887789:87888382,16,87887789,87888382
12:2650044:2650543,12,2650044,2650543
3:45035650:45035816,3,45035650,45035816
20:17505707:17506178,20,17505707,17506178
17:4167671:4168050,17,4167671,4168050
4:40600899:40601722,4,40600899,40601722
17:76727761:76728168,17,76727761,76728168
18:10605102:10605865,18,10605102,10605865
17:39363963:39364564,17,39363963,39364564
13:50934725:50936141,13,50934725,50936141
13:32047511:32048226,13,32047511,32048226
17:39464328:39465200,17,39464328,39465200
1:109273815:109274097,1,109273815,109274097
7:5661866:5662522,7,5661866,5662522
5:392320:392453,5,392320,392453
3:127592057:127592348,3,127592057,127592348
1:16278813:16279291,1,16278813,16279291
2:9475523:9475720,2,9475523,9475720
7:2245952:2246459,7,2245952,2246459
8:133295180:133295784,8,133295180,133295784
3:128651338:128651663,3,128651338,128651663
8:17661668:17662081,8,17661668,17662081
20:57374901:57375650,20,57374901,57375650
12:124573723:124574454,12,124573723,124574454
7:99498590:99498917,7,99498590,99498917
19:15863049:15863684,19,15863049,15863684
3:130848160:130849278,3,130848160,130849278
6:15501686:15502082,6,15501686,15502082
3:94960605:94961704,3,94960605,94961704
12:64542655:64542900,12,64542655,64542900
16:32188158:32188306,16,32188158,32188306
10:124670992:124671267,10,124670992,124671267
22:25386540:25387114,22,25386540,25387114
4:38023713:38024488,4,38023713,38024488
2:86824331:86825672,2,86824331,86825672
17:60598010:60598959,17,60598010,60598959
16:3062023:3062681,16,3062023,3062681
17:4941570:4942117,17,4941570,4942117
9:120843505:120843902,9,120843505,120843902
18:3624177:3624437,18,3624177,3624437
12:6145414:6145813,12,6145414,6145813
14:32937938:32938218,14,32937938,32938218
7:5254476:5254879,7,5254476,5254879
12:4202534:4203216,12,4202534,4203216
3:12158415:12159167,3,12158415,12159167
2:134430966:134431845,2,134430966,134431845
19:12883080:12883878,19,12883080,12883878
11:1813311:1813850,11,1813311,1813850
10:80195738:80196929,10,80195738,80196929
22:43147863:43148533,22,43147863,43148533
14:68578044:68578852,14,68578044,68578852
2:172514288:172515069,2,172514288,172515069
6:35523148:35523458,6,35523148,35523458
20:49832437:49833202,20,49832437,49833202
9:93020774:93021115,9,93020774,93021115
19:1273468:1273887,19,1273468,1273887
22:41831311:41831785,22,41831311,41831785
7:2738335:2738953,7,2738335,2738953
2:62229067:62229543,2,62229067,62229543
5:80653122:80653933,5,80653122,80653933
17:32220708:32221684,17,32220708,32221684
8:136115630:136116476,8,136115630,136116476
X:2430131:2430640,X,2430131,2430640
14:75296770:75297222,14,75296770,75297222
15:52246884:52247380,15,52246884,52247380
5:16701658:16702148,5,16701658,16702148
7:25892779:25893456,7,25892779,25893456
1:12034354:12035084,1,12034354,12035084
1:20678388:20679241,1,20678388,20679241
4:54149514:54149673,4,54149514,54149673
4:84548948:84550748,4,84548948,84550748
X:1269253:1269537,X,1269253,1269537
3:57225972:57226618,3,57225972,57226618
10:12482512:12483262,10,12482512,12483262
17:75753171:75753435,17,75753171,75753435
22:50147634:50148312,22,50147634,50148312
22:28808318:28808581,22,28808318,28808581
7:151089212:151089644,7,151089212,151089644
2:43233309:43234421,2,43233309,43234421
12:98618984:98620029,12,98618984,98620029
7:4748205:4748625,7,4748205,4748625
6:32852030:32852526,6,32852030,32852526
2:119678027:119678463,2,119678027,119678463
16:81008143:81008440,16,81008143,81008440
19:48574380:48575233,19,48574380,48575233
11:66639634:66640069,11,66639634,66640069
17:82204853:82205298,17,82204853,82205298
16:85046958:85047540,16,85046958,85047540
16:89393197:89393796,16,89393197,89393796
6:3126544:3126749,6,3126544,3126749
3:18401312:18402173,3,18401312,18402173
X:2796826:2797069,X,2796826,2797069
8:102529140:102529654,8,102529140,102529654
2:26268872:26269351,2,26268872,26269351
3:47017245:47017921,3,47017245,47017921
16:23528399:23529263,16,23528399,23529263
1:169882958:169883295,1,169882958,169883295
7:606143:606548,7,606143,606548
2:54532592:54533420,2,54532592,54533420
4:26322199:26323053,4,26322199,26323053
1:154610741:154611661,1,154610741,154611661
9:138220796:138220946,9,138220796,138220946
22:25358144:25358711,22,25358144,25358711
19:33160946:33161952,19,33160946,33161952
1:54372464:54373348,1,54372464,54373348
1:32800868:32801738,1,32800868,32801738
8:1509423:1509853,8,1509423,1509853
6:169577446:169577663,6,169577446,169577663
10:5840800:5841206,10,5840800,5841206
18:23259300:23259779,18,23259300,23259779
8:81279431:81279934,8,81279431,81279934
17:1111050:1111704,17,1111050,1111704
14:65790437:65791402,14,65790437,65791402
2:12036583:12037373,2,12036583,12037373
6:151015955:151016572,6,151015955,151016572
7:140304695:140305918,7,140304695,140305918
15:90154942:90155563,15,90154942,90155563
2:98538516:98539269,2,98538516,98539269
2:105847943:105848626,2,105847943,105848626
21:38768365:38768951,21,38768365,38768951
1:36225583:36226165,1,36225583,36226165
11:122665053:122665724,11,122665053,122665724
12:121092446:121093095,12,121092446,121093095
22:40345421:40345791,22,40345421,40345791
10:29734375:29734870,10,29734375,29734870
15:50909603:50909812,15,50909603,50909812
20:10670714:10671221,20,10670714,10671221
22:26594075:26594838,22,26594075,26594838
7:5455864:5456168,7,5455864,5456168
11:729750:730130,11,729750,730130
3:15055130:15055719,3,15055130,15055719
2:8786616:8787079,2,8786616,8787079
16:78461316:78461768,16,78461316,78461768
1:109282173:109282815,1,109282173,109282815
22:37901018:37901737,22,37901018,37901737
20:2469268:2469688,20,2469268,2469688
6:7616179:7616667,6,7616179,7616667
8:97915907:97916741,8,97915907,97916741
12:916287:916530,12,916287,916530
14:102210141:102210658,14,102210141,102210658
7:23904130:23904448,7,23904130,23904448
15:101138246:101138725,15,101138246,101138725
19:55717664:55718485,19,55717664,55718485
22:42551587:42552173,22,42551587,42552173
9:133243072:133243380,9,133243072,133243380
19:3193636:3193869,19,3193636,3193869
21:36487576:36488396,21,36487576,36488396
6:111869574:111870977,6,111869574,111870977
13:45342250:45342555,13,45342250,45342555
22:50498770:50499289,22,50498770,50499289
22:37162239:37163508,22,37162239,37163508
21:35050367:35051105,21,35050367,35051105
12:123745444:123746070,12,123745444,123746070
1:158177330:158177661,1,158177330,158177661
7:47992270:47993013,7,47992270,47993013
7:76166336:76166508,7,76166336,76166508
17:79401625:79401959,17,79401625,79401959
10:132616323:132616545,10,132616323,132616545
6:16157664:16158231,6,16157664,16158231
7:151795479:151795817,7,151795479,151795817
19:18838588:18839433,19,18838588,18839433
8:102528236:102528616,8,102528236,102528616
6:7324504:7325503,6,7324504,7325503
19:2698634:2699305,19,2698634,2699305
11:76096353:76097358,11,76096353,76097358
6:106701755:106702987,6,106701755,106702987
9:88007114:88007601,9,88007114,88007601
6:2891727:2891947,6,2891727,2891947
21:36263980:36264191,21,36263980,36264191
2:1995026:1995573,2,1995026,1995573
16:68013171:68013395,16,68013171,68013395
4:78552616:78553412,4,78552616,78553412
17:2894499:2895096,17,2894499,2895096
7:5395507:5395865,7,5395507,5395865
16:89593846:89594130,16,89593846,89594130
13:99124413:99125247,13,99124413,99125247
20:34293337:34294082,20,34293337,34294082
8:133150061:133150922,8,133150061,133150922
3:150703088:150703346,3,150703088,150703346
2:196177900:196178793,2,196177900,196178793
2:113699781:113700395,2,113699781,113700395
1:31109354:31109752,1,31109354,31109752
19:41302136:41303094,19,41302136,41303094
4:83198072:83199147,4,83198072,83199147
17:17756937:17757471,17,17756937,17757471
13:46893589:46894075,13,46893589,46894075
13:114068515:114069208,13,114068515,114069208
12:53532630:53533172,12,53532630,53533172
7:63506:63954,7,63506,63954
8:37897929:37898276,8,37897929,37898276
2:108750618:108750933,2,108750618,108750933
19:6800522:6801036,19,6800522,6801036
6:136226075:136226661,6,136226075,136226661
3:194682692:194683217,3,194682692,194683217
18:3029223:3029816,18,3029223,3029816
2:85648056:85648430,2,85648056,85648430
17:58503756:58504430,17,58503756,58504430
2:231280707:231281030,2,231280707,231281030
5:64991462:64992812,5,64991462,64992812
17:44901080:44902164,17,44901080,44902164
2:230877336:230877613,2,230877336,230877613
13:41324564:41325257,13,41324564,41325257
7:7867715:7868699,7,7867715,7868699
18:46335699:46336711,18,46335699,46336711
9:137128233:137128858,9,137128233,137128858
1:8152751:8153600,1,8152751,8153600
16:32254152:32254478,16,32254152,32254478
5:142323460:142324001,5,142323460,142324001
2:69985733:69986172,2,69985733,69986172
1:6589194:6589820,1,6589194,6589820
7:76167254:76167406,7,76167254,76167406
16:82152553:82153045,16,82152553,82153045
2:585010:585598,2,585010,585598
2:207847513:207848155,2,207847513,207848155
22:49432648:49433075,22,49432648,49433075
12:124759965:124760442,12,124759965,124760442
17:47099207:47099697,17,47099207,47099697
1:51434259:51434891,1,51434259,51434891
10:3120682:3120894,10,3120682,3120894
1:33055115:33055911,1,33055115,33055911
19:4518703:4519018,19,4518703,4519018
14:68815209:68816139,14,68815209,68816139
7:99381212:99381674,7,99381212,99381674
7:2104443:2104824,7,2104443,2104824
3:197181914:197182320,3,197181914,197182320
8:133718069:133718703,8,133718069,133718703
22:42613557:42613930,22,42613557,42613930
11:66014439:66014893,11,66014439,66014893
10:79000847:79001308,10,79000847,79001308
6:41768670:41769282,6,41768670,41769282
1:218669987:218670284,1,218669987,218670284
6:42449800:42450390,6,42449800,42450390
8:47659873:47660337,8,47659873,47660337
6:111837128:111838015,6,111837128,111838015
8:22626149:22626905,8,22626149,22626905
19:18284710:18285294,19,18284710,18285294
1:1677389:1677687,1,1677389,1677687
11:82849677:82850957,11,82849677,82850957
11:123069024:123069290,11,123069024,123069290
7:100865584:100865794,7,100865584,100865794
17:412890:413379,17,412890,413379
6:105779206:105780115,6,105779206,105780115
16:87945069:87945368,16,87945069,87945368
12:110256430:110257266,12,110256430,110257266
11:3049418:3050107,11,3049418,3050107
1:33338758:33340064,1,33338758,33340064
7:1137421:1137680,7,1137421,1137680
2:148561449:148562120,2,148561449,148562120
7:159112280:159112787,7,159112280,159112787
15:82849646:82849945,15,82849646,82849945
8:22572193:22572430,8,22572193,22572430
10:61001963:61002239,10,61001963,61002239
12:124681792:124682273,12,124681792,124682273
5:126912233:126913270,5,126912233,126913270
12:121849605:121850021,12,121849605,121850021
9:133339721:133340839,9,133339721,133340839
3:10338704:10339125,3,10338704,10339125
11:69058708:69059027,11,69058708,69059027
2:185849783:185850690,2,185849783,185850690
4:155758266:155758682,4,155758266,155758682
20:59043361:59044054,20,59043361,59044054
9:34180004:34180298,9,34180004,34180298
6:166274707:166275021,6,166274707,166275021
14:90272312:90273084,14,90272312,90273084
11:72014199:72014482,11,72014199,72014482
11:64410197:64410462,11,64410197,64410462
15:79872458:79873276,15,79872458,79873276
10:12218826:12219268,10,12218826,12219268
4:173171311:173172280,4,173171311,173172280
12:14981892:14982335,12,14981892,14982335
2:12302545:12303733,2,12302545,12303733
12:124390801:124391117,12,124390801,124391117
3:4821402:4822492,3,4821402,4822492
7:1810942:1811214,7,1810942,1811214
X:437628:438058,X,437628,438058
11:3446890:3447750,11,3446890,3447750
22:24632609:24633026,22,24632609,24633026
17:21199379:21199683,17,21199379,21199683
18:76619146:76619679,18,76619146,76619679
4:26312041:26312545,4,26312041,26312545
6:157283293:157283783,6,157283293,157283783
9:127607235:127607924,9,127607235,127607924
6:27772900:27773710,6,27772900,27773710
2:23938872:23939386,2,23938872,23939386
3:52389837:52390542,3,52389837,52390542
14:34947126:34948044,14,34947126,34948044
6:36962350:36962630,6,36962350,36962630
6:15285173:15285694,6,15285173,15285694
11:2366265:2366715,11,2366265,2366715
19:16256655:16257297,19,16256655,16257297
7:154039998:154040819,7,154039998,154040819
5:178215944:178216833,5,178215944,178216833
22:40007887:40008221,22,40007887,40008221
8:133245443:133246054,8,133245443,133246054
10:3782038:3782554,10,3782038,3782554
17:39334706:39335699,17,39334706,39335699
6:154245478:154246482,6,154245478,154246482
7:158720101:158720452,7,158720101,158720452
2:85516429:85517201,2,85516429,85517201
11:119440649:119440911,11,119440649,119440911
11:128576175:128576943,11,128576175,128576943
7:2834888:2835417,7,2834888,2835417
10:69813310:69814587,10,69813310,69814587
8:143809387:143809711,8,143809387,143809711
19:4344412:4344831,19,4344412,4344831
21:45813504:45814155,21,45813504,45814155
1:24414074:24414247,1,24414074,24414247
1:112957047:112957361,1,112957047,112957361
6:16727782:16728535,6,16727782,16728535
7:163848:164144,7,163848,164144
9:127762556:127763001,9,127762556,127763001
22:38259121:38259922,22,38259121,38259922
22:39901615:39902489,22,39901615,39902489
22:26671530:26672161,22,26671530,26672161
12:12006996:12008022,12,12006996,12008022
8:48273942:48274507,8,48273942,48274507
6:501933:502338,6,501933,502338
14:35293919:35294319,14,35293919,35294319
12:6469240:6469927,12,6469240,6469927
7:5077757:5078079,7,5077757,5078079
2:9412708:9413391,2,9412708,9413391
6:33390787:33391224,6,33390787,33391224
19:16331207:16331853,19,16331207,16331853
15:101115902:101116317,15,101115902,101116317
7:148398047:148398838,7,148398047,148398838
2:68126225:68127297,2,68126225,68127297
2:230379995:230381406,2,230379995,230381406
14:69619892:69620660,14,69619892,69620660
4:184650292:184650717,4,184650292,184650717
1:26619188:26619673,1,26619188,26619673
12:666601:667185,12,666601,667185
8:317628:318108,8,317628,318108
19:4676897:4677143,19,4676897,4677143
20:50409335:50410177,20,50409335,50410177
12:110008620:110009376,12,110008620,110009376
5:1137955:1138277,5,1137955,1138277
9:74864704:74865494,9,74864704,74865494
2:112160691:112160803,2,112160691,112160803
10:133169949:133170476,10,133169949,133170476
1:230109688:230110086,1,230109688,230110086
12:6879766:6880266,12,6879766,6880266
16:78394597:78395422,16,78394597,78395422
2:98795772:98796436,2,98795772,98796436
6:7963622:7963867,6,7963622,7963867
19:58305921:58306344,19,58305921,58306344
7:148350460:148351391,7,148350460,148351391
17:8413033:8413739,17,8413033,8413739
16:88945213:88945806,16,88945213,88945806
1:232978201:232978927,1,232978201,232978927
3:196007863:196008259,3,196007863,196008259
10:124696001:124696918,10,124696001,124696918
12:110778522:110779192,12,110778522,110779192
7:77661807:77662339,7,77661807,77662339
19:4880776:4881276,19,4880776,4881276
12:1922096:1922289,12,1922096,1922289
16:4095714:4096284,16,4095714,4096284
22:43092153:43092393,22,43092153,43092393
1:157700430:157701596,1,157700430,157701596
7:6103821:6104037,7,6103821,6104037
12:128796624:128797029,12,128796624,128797029
15:90183973:90184338,15,90183973,90184338
5:181221459:181221764,5,181221459,181221764
11:68314467:68315019,11,68314467,68315019
17:76488902:76489424,17,76488902,76489424
19:57775084:57775363,19,57775084,57775363
2:30234212:30234918,2,30234212,30234918
17:1611495:1612050,17,1611495,1612050
2:239073538:239073767,2,239073538,239073767
11:59107812:59108179,11,59107812,59108179
13:72726345:72726570,13,72726345,72726570
8:29373196:29373506,8,29373196,29373506
11:47937614:47938374,11,47937614,47938374
10:87861180:87861622,10,87861180,87861622
9:137383399:137383629,9,137383399,137383629
11:122830976:122831624,11,122830976,122831624
1:235892803:235893615,1,235892803,235893615
16:32253615:32253766,16,32253615,32253766
1:19486315:19486663,1,19486315,19486663
15:75901702:75902463,15,75901702,75902463
11:71447072:71447665,11,71447072,71447665
8:23547815:23548335,8,23547815,23548335
19:3344165:3344520,19,3344165,3344520
10:117125441:117126088,10,117125441,117126088
3:32484033:32484851,3,32484033,32484851
16:4803549:4804060,16,4803549,4804060
15:101456327:101456767,15,101456327,101456767
2:176491124:176491910,2,176491124,176491910
11:62401966:62402639,11,62401966,62402639
17:15832916:15833396,17,15832916,15833396
8:1989667:1990169,8,1989667,1990169
2:241871037:241871723,2,241871037,241871723
12:6735168:6735925,12,6735168,6735925
17:42161448:42162410,17,42161448,42162410
11:64327907:64328555,11,64327907,64328555
1:245807160:245808078,1,245807160,245808078
13:108595499:108596159,13,108595499,108596159
4:139941303:139942543,4,139941303,139942543
8:143556477:143556998,8,143556477,143556998
1:206699054:206699951,1,206699054,206699951
1:247373833:247373952,1,247373833,247373952
2:24873828:24874342,2,24873828,24874342
8:22578202:22578356,8,22578202,22578356
2:43213629:43214169,2,43213629,43214169
1:27368571:27368799,1,27368571,27368799
7:43458763:43459153,7,43458763,43459153
5:122855102:122855367,5,122855102,122855367
10:878270:878725,10,878270,878725
20:56492757:56493124,20,56492757,56493124
16:3101990:3102506,16,3101990,3102506
7:5773706:5774570,7,5773706,5774570
11:68870347:68870871,11,68870347,68870871
14:55373495:55374356,14,55373495,55374356
6:37650052:37650201,6,37650052,37650201
16:12767862:12768663,16,12767862,12768663
12:32005434:32005864,12,32005434,32005864
4:105461264:105461855,4,105461264,105461855
2:102788788:102789188,2,102788788,102789188
12:122412281:122412649,12,122412281,122412649
15:56007034:56007438,15,56007034,56007438
7:5856130:5856774,7,5856130,5856774
22:27785239:27785436,22,27785239,27785436
15:70141190:70142020,15,70141190,70142020
21:26099302:26099892,21,26099302,26099892
7:99407102:99407640,7,99407102,99407640
17:77416500:77416859,17,77416500,77416859
22:24428141:24428720,22,24428141,24428720
7:16667142:16667803,7,16667142,16667803
8:144073723:144074176,8,144073723,144074176
1:33326675:33327415,1,33326675,33327415
11:3442289:3443369,11,3442289,3443369
4:183536419:183537073,4,183536419,183537073
7:101717890:101718061,7,101717890,101718061
9:113376044:113376440,9,113376044,113376440
6:37177307:37178067,6,37177307,37178067
9:126327382:126328058,9,126327382,126328058
3:56692618:56693016,3,56692618,56693016
8:134713763:134714658,8,134713763,134714658
12:132680859:132681301,12,132680859,132681301
7:2116114:2116389,7,2116114,2116389
19:47941394:47941458,19,47941394,47941458
3:143179585:143180025,3,143179585,143180025
11:74461380:74462083,11,74461380,74462083
6:1081975:1082548,6,1081975,1082548
13:30408925:30409188,13,30408925,30409188
13:97077047:97077553,13,97077047,97077553
17:82627795:82628398,17,82627795,82628398
4:138198899:138200357,4,138198899,138200357
5:52990217:52990518,5,52990217,52990518
14:50082757:50083798,14,50082757,50083798
5:55620635:55621433,5,55620635,55621433
22:37912984:37913611,22,37912984,37913611
12:113245973:113246307,12,113245973,113246307
8:2892586:2893300,8,2892586,2893300
1:16727201:16727627,1,16727201,16727627
1:2276658:2277023,1,2276658,2277023
18:712961:713085,18,712961,713085
22:19687020:19687562,22,19687020,19687562
6:109383927:109384204,6,109383927,109384204
10:7159551:7160385,10,7159551,7160385
3:23760706:23761304,3,23760706,23761304
21:41884990:41885353,21,41884990,41885353
14:100307431:100307726,14,100307431,100307726
22:31875912:31876285,22,31875912,31876285
7:6826536:6826716,7,6826536,6826716
3:11036850:11037178,3,11036850,11037178
12:122062979:122063554,12,122062979,122063554
6:166997525:166997873,6,166997525,166997873
9:134391138:134391401,9,134391138,134391401
7:75741148:75741540,7,75741148,75741540
16:85381991:85382529,16,85381991,85382529
17:59805149:59805323,17,59805149,59805323
18:79826578:79826717,18,79826578,79826717
3:185497849:185498125,3,185497849,185498125
2:238908972:238909447,2,238908972,238909447
4:83230429:83231444,4,83230429,83231444
20:59145961:59146679,20,59145961,59146679
17:42523825:42524089,17,42523825,42524089
6:11196369:11196746,6,11196369,11196746
3:179473674:179474372,3,179473674,179474372
19:52735370:52735636,19,52735370,52735636
13:77478014:77478653,13,77478014,77478653
16:29318611:29319182,16,29318611,29319182
20:38294173:38294635,20,38294173,38294635
3:183783921:183784844,3,183783921,183784844
7:66123099:66123410,7,66123099,66123410
6:30071398:30071823,6,30071398,30071823
6:36697463:36698360,6,36697463,36698360
16:18834436:18835087,16,18834436,18835087
16:84199787:84200212,16,84199787,84200212
2:97763659:97764213,2,97763659,97764213
8:140495257:140495539,8,140495257,140495539
10:124636654:124637132,10,124636654,124637132
1:32015836:32016050,1,32015836,32016050
1:149712558:149712738,1,149712558,149712738
3:72082890:72083507,3,72082890,72083507
14:89164595:89165060,14,89164595,89165060
1:200898814:200899292,1,200898814,200899292
8:25186413:25186630,8,25186413,25186630
6:32854995:32856051,6,32854995,32856051
12:7793050:7793890,12,7793050,7793890
9:122821536:122822292,9,122821536,122822292
10:26491822:26492123,10,26491822,26492123
8:38974904:38975449,8,38974904,38975449
7:151416038:151416674,7,151416038,151416674
19:22633686:22633843,19,22633686,22633843
2:216078446:216079274,2,216078446,216079274
11:70522808:70523249,11,70522808,70523249
5:140710335:140710597,5,140710335,140710597
14:104749063:104749307,14,104749063,104749307
1:3352590:3352664,1,3352590,3352664
2:136031529:136032189,2,136031529,136032189
5:17063345:17063550,5,17063345,17063550
5:149421424:149422087,5,149421424,149422087
9:105384790:105385864,9,105384790,105385864
13:99062355:99063023,13,99062355,99063023
8:1944433:1944672,8,1944433,1944672
9:129893469:129894664,9,129893469,129894664
9:91714284:91714739,9,91714284,91714739
17:5173378:5173884,17,5173378,5173884
13:112876300:112876639,13,112876300,112876639
5:270692:271003,5,270692,271003
6:37535522:37535857,6,37535522,37535857
19:3165570:3165920,19,3165570,3165920
2:64326585:64327134,2,64326585,64327134
6:27874216:27874498,6,27874216,27874498
3:190176222:190176475,3,190176222,190176475
18:69935428:69936501,18,69935428,69936501
12:69428548:69429056,12,69428548,69429056
17:2990455:2991064,17,2990455,2991064
17:5242187:5242935,17,5242187,5242935
13:110536203:110536654,13,110536203,110536654
19:4784860:4785172,19,4784860,4785172
1:155553501:155553873,1,155553501,155553873
11:88447590:88448554,11,88447590,88448554
1:226736535:226736813,1,226736535,226736813
22:20279689:20280034,22,20279689,20280034
16:70714607:70715225,16,70714607,70715225
13:106866069:106866753,13,106866069,106866753
8:60540137:60540771,8,60540137,60540771
10:132498608:132499097,10,132498608,132499097
1:223826188:223827275,1,223826188,223827275
4:7789173:7789456,4,7789173,7789456
22:31752796:31753139,22,31752796,31753139
17:31032102:31032782,17,31032102,31032782
16:7941090:7942180,16,7941090,7942180
10:26491044:26491515,10,26491044,26491515
6:35014822:35015803,6,35014822,35015803
19:45676151:45676578,19,45676151,45676578
13:95552011:95552284,13,95552011,95552284
13:72728513:72729057,13,72728513,72729057
11:17078656:17078877,11,17078656,17078877
6:11198394:11199336,6,11198394,11199336
21:29023900:29024116,21,29023900,29024116
1:19347659:19348147,1,19347659,19348147
20:1804329:1804874,20,1804329,1804874
6:16420195:16421314,6,16420195,16421314
10:119113916:119114623,10,119113916,119114623
1:236396310:236396744,1,236396310,236396744
4:139001799:139002526,4,139001799,139002526
16:4800692:4801267,16,4800692,4801267
10:3720426:3721145,10,3720426,3721145
13:108214491:108214763,13,108214491,108214763
1:88974948:88975386,1,88974948,88975386
2:151363654:151364043,2,151363654,151364043
9:129822826:129823072,9,129822826,129823072
2:173874166:173874590,2,173874166,173874590
5:116571854:116572248,5,116571854,116572248
12:31960813:31961253,12,31960813,31961253
19:5229109:5229325,19,5229109,5229325
7:87873463:87873719,7,87873463,87873719
2:37190490:37190866,2,37190490,37190866
13:18197942:18199157,13,18197942,18199157
7:80919840:80920249,7,80919840,80920249
2:27430104:27430739,2,27430104,27430739
19:6592475:6592920,19,6592475,6592920
6:26283951:26284239,6,26283951,26284239
7:151088320:151088727,7,151088320,151088727
12:110429883:110430075,12,110429883,110430075
21:42108592:42108758,21,42108592,42108758
20:63606790:63607004,20,63606790,63607004
19:40163340:40163742,19,40163340,40163742
1:120956400:120957232,1,120956400,120957232
19:29796145:29796560,19,29796145,29796560
1:58597980:58598614,1,58597980,58598614
11:126883036:126884623,11,126883036,126884623
13:97435358:97436162,13,97435358,97436162
14:91149472:91150175,14,91149472,91150175
21:43971293:43971598,21,43971293,43971598
11:126419933:126420881,11,126419933,126420881
16:68710335:68710716,16,68710335,68710716
1:18481225:18481524,1,18481225,18481524
20:56393503:56393814,20,56393503,56393814
7:137970134:137970934,7,137970134,137970934
3:51734442:51735527,3,51734442,51735527
5:40779187:40780490,5,40779187,40780490
19:6232459:6232975,19,6232459,6232975
9:64367688:64367975,9,64367688,64367975
8:105317671:105317889,8,105317671,105317889
19:10731976:10732244,19,10731976,10732244
17:9805321:9805921,17,9805321,9805921
20:31637714:31638048,20,31637714,31638048
8:2130412:2131225,8,2130412,2131225
16:31371864:31372325,16,31371864,31372325
3:196096865:196097602,3,196096865,196097602
1:149888909:149889379,1,149888909,149889379
10:12409207:12409538,10,12409207,12409538
7:4738393:4738905,7,4738393,4738905
19:4083679:4083890,19,4083679,4083890
19:50364812:50365248,19,50364812,50365248
8:144008274:144008602,8,144008274,144008602
9:7080707:7081455,9,7080707,7081455
17:31923924:31924355,17,31923924,31924355
1:148335463:148336138,1,148335463,148336138
3:197735716:197736106,3,197735716,197736106
17:78187521:78187812,17,78187521,78187812
12:3650047:3650745,12,3650047,3650745
10:97354098:97354751,10,97354098,97354751
1:21292978:21293713,1,21292978,21293713
14:20684968:20685423,14,20684968,20685423
7:151008487:151008849,7,151008487,151008849
15:33450429:33450966,15,33450429,33450966
8:143549598:143549800,8,143549598,143549800
6:158849890:158850350,6,158849890,158850350
20:3927142:3927763,20,3927142,3927763
3:56725766:56726066,3,56725766,56726066
19:4390569:4390981,19,4390569,4390981
5:415760:416279,5,415760,416279
1:40241986:40242387,1,40241986,40242387
2:207265592:207266442,2,207265592,207266442
3:50082748:50083235,3,50082748,50083235
4:83491602:83492770,4,83491602,83492770
3:32421972:32422760,3,32421972,32422760
4:919881:920286,4,919881,920286
8:20251598:20252187,8,20251598,20252187
1:12184984:12185539,1,12184984,12185539
4:6500349:6501186,4,6500349,6501186
11:5808437:5808878,11,5808437,5808878
8:100307214:100307878,8,100307214,100307878
14:101710916:101711316,14,101710916,101711316
7:149494579:149495458,7,149494579,149495458
3:195164802:195165434,3,195164802,195165434
1:237308218:237308938,1,237308218,237308938
6:43143083:43143438,6,43143083,43143438
2:10121220:10121780,2,10121220,10121780
18:34861251:34861442,18,34861251,34861442
2:236571703:236572198,2,236571703,236572198
3:183880204:183880621,3,183880204,183880621
18:2956996:2958742,18,2956996,2958742
15:78944253:78944598,15,78944253,78944598
8:140134893:140135924,8,140134893,140135924
11:68029075:68029409,11,68029075,68029409
19:16085279:16085953,19,16085279,16085953
1:234777136:234777452,1,234777136,234777452
6:53078224:53079317,6,53078224,53079317
11:95149967:95150261,11,95149967,95150261
1:184929766:184930700,1,184929766,184930700
3:112556034:112556615,3,112556034,112556615
7:25968078:25968447,7,25968078,25968447
7:27137152:27137449,7,27137152,27137449
13:46403729:46404155,13,46403729,46404155
5:127028668:127029238,5,127028668,127029238
19:38303810:38304226,19,38303810,38304226
3:148992587:148993090,3,148992587,148993090
19:38848193:38848647,19,38848193,38848647
2:88918914:88919247,2,88918914,88919247
16:87867886:87868094,16,87867886,87868094
6:87702897:87703270,6,87702897,87703270
10:125162360:125162561,10,125162360,125162561
16:88523131:88523496,16,88523131,88523496
19:46731514:46731830,19,46731514,46731830
20:33862489:33862698,20,33862489,33862698
1:21767945:21768436,1,21767945,21768436
20:57393231:57393825,20,57393231,57393825
9:6412299:6412478,9,6412299,6412478
11:78078869:78078990,11,78078869,78078990
12:94172286:94173227,12,94172286,94173227
18:77115086:77115799,18,77115086,77115799
2:96462622:96462973,2,96462622,96462973
6:43181658:43181968,6,43181658,43181968
5:157891441:157891818,5,157891441,157891818
7:49776261:49776793,7,49776261,49776793
13:40433781:40434295,13,40433781,40434295
15:26629282:26629418,15,26629282,26629418
16:29721010:29721318,16,29721010,29721318
20:3081863:3082172,20,3081863,3082172
1:147998499:147999179,1,147998499,147999179
21:43838359:43838992,21,43838359,43838992
1:3181655:3182103,1,3181655,3182103
7:590520:590873,7,590520,590873
6:157273256:157273761,6,157273256,157273761
6:31013283:31014183,6,31013283,31014183
1:21337708:21338552,1,21337708,21338552
